,location,size,total_sqft,bath,balcony,price
1755,Doddathoguru,2,1050.0,2.0,1.0,32.0
1756,Doddathoguru,2,850.0,2.0,1.0,25.0
1757,Doddathoguru,2,1030.0,2.0,2.0,42.0
1758,Doddathoguru,3,1549.0,3.0,2.0,65.0
1760,Doddathoguru,1,550.0,1.0,1.0,17.0
1761,Doddathoguru,2,1015.0,2.0,2.0,33.5
1762,Doddathoguru,2,1104.0,2.0,2.0,39.0
1763,Doddathoguru,2,915.0,2.0,1.0,32.0
1764,Doddathoguru,1,750.0,1.0,1.0,25.5
1765,Doddathoguru,3,1595.0,3.0,3.0,62.0
1766,Doddathoguru,2,855.0,2.0,1.0,32.0
1767,Doddathoguru,2,1105.0,2.0,1.0,50.0
1768,Doddathoguru,2,925.0,2.0,2.0,30.0
1770,Doddathoguru,3,1208.0,3.0,1.0,45.0
1771,Doddathoguru,2,1100.0,2.0,2.0,50.0
1772,Doddathoguru,2,940.0,2.0,1.0,32.9
1773,Doddathoguru,3,1382.0,3.0,1.0,65.0
1774,Doddathoguru,2,1107.0,2.0,3.0,44.0
1775,Doddathoguru,2,907.0,2.0,1.0,40.0
1776,Doddathoguru,3,1783.0,3.0,3.0,85.0
1777,Doddathoguru,1,550.0,1.0,1.0,17.0
1778,Dodsworth Layout,4,30000.0,4.0,2.0,2100.0
1779,Dodsworth Layout,2,1400.0,2.0,2.0,80.0
1780,Dodsworth Layout,3,1717.0,3.0,3.0,99.0
1781,Dodsworth Layout,3,1594.0,3.0,2.0,99.0
1782,Dodsworth Layout,3,1893.0,3.0,2.0,115.0
1783,Dodsworth Layout,2,1400.0,2.0,3.0,85.0
1784,Dodsworth Layout,6,30400.0,4.0,2.0,1824.0
1785,Domlur,3,1540.0,3.0,2.0,90.0
1786,Domlur,3,1875.0,2.0,2.0,150.0
1787,Domlur,3,1429.0,3.0,3.0,86.0
1788,Domlur,1,640.0,1.0,0.0,55.0
1789,Domlur,2,1050.0,2.0,2.0,85.0
1790,Domlur,3,1800.0,3.0,2.0,150.0
1791,Domlur,3,1720.0,3.0,1.0,135.0
1792,Domlur,3,1950.0,3.0,3.0,165.0
1793,Domlur,3,2180.0,3.0,2.0,285.0
1794,Domlur,1,650.0,1.0,1.0,70.0
1795,Domlur,1,780.0,1.0,1.0,70.0
1796,Domlur,3,2180.0,3.0,2.0,285.0
1797,Domlur,3,1740.0,3.0,0.0,120.0
1798,Domlur,3,1695.0,3.0,2.0,125.0
1799,Domlur,2,1246.0,2.0,1.0,95.0
1800,Domlur,3,2100.0,3.0,2.0,145.0
1801,Domlur,2,1276.0,2.0,2.0,80.0
1802,Domlur,3,1850.0,3.0,1.0,180.0
1803,Domlur,3,2955.0,3.0,2.0,235.0
1804,Domlur,3,1650.0,3.0,1.0,180.0
1805,Dommasandra,2,805.0,2.0,1.0,22.14
1806,Dommasandra,2,1153.0,2.0,2.0,43.5
1807,Dommasandra,2,1090.0,2.0,2.0,43.5
1808,Dommasandra,2,850.0,2.0,1.0,25.4
1809,Dommasandra,2,999.0,2.0,2.0,32.9
1810,EPIP Zone,3,1499.0,5.0,2.0,102.0
1811,EPIP Zone,2,1285.0,2.0,2.0,82.0
1812,EPIP Zone,3,2330.0,3.0,2.0,162.0
1813,EPIP Zone,2,1330.0,2.0,1.0,92.5
1814,EPIP Zone,2,1330.0,2.0,1.0,86.98
1815,EPIP Zone,2,1330.0,2.0,1.0,93.36
1817,EPIP Zone,3,1500.0,3.0,3.0,102.0
1818,EPIP Zone,2,1280.0,2.0,1.0,69.0
1819,EPIP Zone,2,1125.0,2.0,1.0,65.0
1820,EPIP Zone,3,1734.0,3.0,3.0,125.0
1822,EPIP Zone,2,1343.0,2.0,2.0,86.0
1823,EPIP Zone,3,2350.0,4.0,2.0,163.0
1824,EPIP Zone,3,1860.0,3.0,2.0,130.0
1825,EPIP Zone,3,2210.0,3.0,3.0,165.0
1826,EPIP Zone,3,2710.0,3.0,2.0,177.0
1830,Electronic City,3,1500.0,2.0,1.0,64.5
1831,Electronic City,2,1060.0,2.0,1.0,60.0
1832,Electronic City,2,1152.0,2.0,1.0,64.5
1834,Electronic City,2,770.0,1.0,1.0,36.0
1835,Electronic City,2,1070.0,2.0,1.0,52.0
1836,Electronic City,2,1025.0,2.0,1.0,46.0
1837,Electronic City,1,589.0,1.0,1.0,27.0
1839,Electronic City,2,910.0,2.0,1.0,40.0
1840,Electronic City,2,1108.0,2.0,1.0,63.0
1841,Electronic City,2,1128.0,2.0,1.0,65.0
1842,Electronic City,3,1800.0,3.0,2.0,95.0
1843,Electronic City,1,630.0,1.0,1.0,34.65
1844,Electronic City,2,1128.0,2.0,1.0,63.0
1845,Electronic City,3,1599.0,3.0,2.0,99.0
1848,Electronic City,2,1070.0,2.0,1.0,55.0
1849,Electronic City,2,940.0,2.0,1.0,41.0
1851,Electronic City,2,1128.0,2.0,1.0,68.75
1852,Electronic City,2,1342.0,2.0,1.0,73.3
1853,Electronic City,3,1360.0,2.0,1.0,71.0
1855,Electronic City,2,1265.0,2.0,0.0,56.93
1856,Electronic City,3,1691.0,2.0,2.0,102.0
1857,Electronic City,2,1128.0,2.0,1.0,65.49
1860,Electronic City,2,1070.0,2.0,1.0,56.1
1861,Electronic City,4,2000.0,4.0,0.0,120.0
1862,Electronic City,2,890.0,2.0,2.0,45.0
1863,Electronic City,2,1128.0,2.0,1.0,65.65
1864,Electronic City,2,865.0,2.0,0.0,42.0
1866,Electronic City,2,910.0,2.0,2.0,42.0
1868,Electronic City,3,1360.0,2.0,1.0,75.0
1869,Electronic City,2,770.0,1.0,1.0,40.0
1870,Electronic City,2,1128.0,2.0,1.0,64.0
1871,Electronic City,2,1070.0,2.0,1.0,54.0
1873,Electronic City,3,1571.0,3.0,2.0,89.0
1874,Electronic City,3,1111.0,3.0,1.0,50.0
1875,Electronic City,2,870.0,2.0,1.0,39.5
1877,Electronic City,3,1374.0,2.0,1.0,72.0
1879,Electronic City,2,1128.0,2.0,1.0,65.35
1880,Electronic City,2,1128.0,2.0,1.0,65.0
1881,Electronic City,2,755.0,1.0,1.0,34.0
1885,Electronic City,3,1563.0,3.0,2.0,91.84
1888,Electronic City,2,1025.0,2.0,1.0,54.5
1889,Electronic City,2,1070.0,2.0,1.0,46.0
1890,Electronic City,3,1350.0,3.0,2.0,58.0
1893,Electronic City,3,1700.0,3.0,2.0,75.0
1895,Electronic City,2,1128.0,2.0,1.0,68.0
1896,Electronic City,1,700.0,1.0,1.0,35.0
1897,Electronic City,3,1360.0,2.0,1.0,70.5
1899,Electronic City,3,1571.0,3.0,2.0,105.0
1903,Electronic City,3,1600.0,3.0,2.0,104.0
1905,Electronic City,3,1500.0,2.0,1.0,100.0
1909,Electronic City,2,1152.0,2.0,1.0,65.0
1910,Electronic City,2,1070.0,2.0,1.0,60.0
1911,Electronic City,2,1128.0,2.0,1.0,65.5
1912,Electronic City,2,1200.0,2.0,1.0,59.0
1913,Electronic City,2,1152.0,2.0,1.0,65.75
1915,Electronic City,2,1070.0,2.0,1.0,55.0
1916,Electronic City,2,1060.0,2.0,1.0,58.0
1917,Electronic City,2,1025.0,2.0,1.0,54.1
1920,Electronic City,3,1500.0,2.0,1.0,78.0
1921,Electronic City,2,1213.0,2.0,1.0,59.32
1922,Electronic City,3,1575.0,3.0,2.0,90.0
1923,Electronic City,3,1449.0,3.0,2.0,100.0
1925,Electronic City,2,1125.0,2.0,1.0,58.0
1927,Electronic City,3,1575.0,3.0,3.0,101.0
1928,Electronic City,1,550.0,1.0,1.0,12.0
1929,Electronic City,2,919.0,2.0,2.0,40.0
1930,Electronic City,3,1500.0,2.0,1.0,78.25
1931,Electronic City,2,1363.0,2.0,1.0,79.0
1934,Electronic City,2,1108.0,2.0,1.0,67.15
1936,Electronic City,2,1128.0,2.0,1.0,65.7
1938,Electronic City,2,1060.0,2.0,1.0,51.0
1940,Electronic City,3,1650.0,3.0,2.0,100.0
1942,Electronic City,2,1025.0,2.0,1.0,49.0
1944,Electronic City,3,1449.0,3.0,2.0,90.0
1946,Electronic City,2,1070.0,2.0,1.0,58.0
1947,Electronic City,2,1210.0,2.0,1.0,54.0
1948,Electronic City,3,1500.0,2.0,1.0,75.0
1949,Electronic City,2,1070.0,2.0,1.0,52.0
1950,Electronic City,4,2435.0,4.0,3.0,119.0
1954,Electronic City,2,1073.0,2.0,2.0,60.0
1955,Electronic City,3,1500.0,2.0,1.0,78.0
1956,Electronic City,2,1070.0,2.0,1.0,47.0
1957,Electronic City,2,1296.0,2.0,2.0,65.0
1958,Electronic City,2,1140.0,2.0,1.0,70.93
1964,Electronic City,4,2093.0,4.0,1.0,104.0
1965,Electronic City,2,1025.0,2.0,1.0,53.9
1966,Electronic City,2,940.0,2.0,1.0,54.0
1967,Electronic City,1,435.0,1.0,1.0,21.0
1968,Electronic City,3,1500.0,2.0,1.0,77.5
1969,Electronic City,3,1631.0,3.0,2.0,80.0
1970,Electronic City,2,1355.0,2.0,1.0,67.0
1973,Electronic City,1,435.0,1.0,1.0,22.0
1975,Electronic City,2,1039.0,2.0,1.0,50.0
1976,Electronic City,2,770.0,1.0,1.0,39.9
1978,Electronic City,2,1128.0,2.0,1.0,64.0
1979,Electronic City,1,605.0,1.0,0.0,13.31
1981,Electronic City,1,530.0,1.0,1.0,13.5
1982,Electronic City,2,1070.0,2.0,1.0,53.0
1985,Electronic City,3,1571.0,3.0,2.0,83.0
1987,Electronic City,3,1350.0,3.0,2.0,66.0
1988,Electronic City,3,1652.0,3.0,3.0,110.0
1991,Electronic City,2,1128.0,2.0,1.0,65.58
1992,Electronic City,1,635.0,1.0,1.0,28.0
1993,Electronic City,2,1128.0,2.0,1.0,65.4
1996,Electronic City,2,1355.0,2.0,1.0,72.9
2000,Electronic City,3,1609.0,3.0,3.0,115.0
2001,Electronic City,2,770.0,1.0,1.0,35.0
2003,Electronic City,2,865.0,2.0,1.0,40.0
2006,Electronic City,2,1108.0,2.0,1.0,63.0
2007,Electronic City,1,630.0,1.0,1.0,40.5
2010,Electronic City,1,605.0,1.0,1.0,22.0
2012,Electronic City,2,1070.0,2.0,1.0,48.0
2014,Electronic City,3,1360.0,2.0,1.0,70.0
2015,Electronic City,1,635.0,1.0,0.0,28.0
2016,Electronic City,2,1128.0,2.0,1.0,65.45
2017,Electronic City,2,890.0,2.0,1.0,40.0
2025,Electronic City,1,630.0,1.0,1.0,33.7
2028,Electronic City,3,1400.0,3.0,1.0,90.0
2030,Electronic City,2,1258.0,2.0,1.0,85.5
2031,Electronic City,2,1386.0,2.0,1.0,85.0
2032,Electronic City,2,1025.0,2.0,1.0,50.0
2034,Electronic City,2,1070.0,2.0,1.0,55.0
2035,Electronic City,2,1342.0,2.0,1.0,72.0
2036,Electronic City,3,1275.0,3.0,1.0,70.0
2037,Electronic City,2,770.0,1.0,1.0,38.0
2041,Electronic City,3,1644.0,3.0,2.0,92.59
2042,Electronic City,2,1250.0,2.0,1.0,62.0
2045,Electronic City,1,418.0,1.0,1.0,12.0
2046,Electronic City,2,1128.0,2.0,1.0,64.8
2049,Electronic City,2,1060.0,2.0,1.0,55.0
2050,Electronic City,1,710.0,1.0,1.0,40.42
2053,Electronic City,3,1275.0,3.0,3.0,63.43
2054,Electronic City,3,1518.0,3.0,3.0,75.0
2055,Electronic City,1,1090.0,2.0,1.0,31.48
2058,Electronic City,2,1060.0,2.0,1.0,55.0
2060,Electronic City,2,1353.0,2.0,3.0,75.0
2061,Electronic City,2,1128.0,2.0,1.0,67.0
2062,Electronic City,2,1070.0,2.0,1.0,57.0
2063,Electronic City,3,1700.0,3.0,2.0,90.0
2065,Electronic City,1,750.0,1.0,1.0,35.0
2066,Electronic City,2,1210.0,2.0,1.0,55.0
2067,Electronic City,2,1070.0,2.0,1.0,60.0
2072,Electronic City,3,1615.0,3.0,2.0,97.0
2074,Electronic City,2,1221.0,2.0,2.0,68.0
2076,Electronic City,3,1500.0,3.0,1.0,73.0
2077,Electronic City,2,995.0,2.0,1.0,48.0
2078,Electronic City,2,1342.0,2.0,1.0,90.0
2080,Electronic City,2,1128.0,2.0,1.0,63.5
2081,Electronic City,1,589.0,1.0,1.0,29.0
2084,Electronic City,3,1575.0,3.0,1.0,94.5
2085,Electronic City,2,1070.0,2.0,1.0,48.0
2086,Electronic City,2,1025.0,2.0,1.0,54.0
2087,Electronic City,3,1500.0,2.0,1.0,70.0
2088,Electronic City,3,1500.0,2.0,1.0,64.5
2090,Electronic City,4,2093.0,4.0,2.0,134.0
2092,Electronic City,2,1355.0,2.0,1.0,73.0
2093,Electronic City,3,1360.0,2.0,1.0,64.99
2094,Electronic City,2,1060.0,2.0,1.0,52.0
2095,Electronic City Phase II,2,1056.0,2.0,1.0,39.07
2096,Electronic City Phase II,2,1020.0,2.0,1.0,30.6
2097,Electronic City Phase II,2,1069.0,2.0,2.0,45.0
2098,Electronic City Phase II,1,630.0,1.0,1.0,28.35
2100,Electronic City Phase II,2,1000.0,2.0,1.0,25.0
2101,Electronic City Phase II,2,1090.0,2.0,1.0,28.34
2102,Electronic City Phase II,4,2225.0,4.0,0.0,98.88
2104,Electronic City Phase II,2,775.0,2.0,2.0,38.0
2105,Electronic City Phase II,2,1266.0,2.0,2.0,59.0
2106,Electronic City Phase II,2,1000.0,2.0,1.0,28.88
2109,Electronic City Phase II,2,972.0,2.0,1.0,44.0
2111,Electronic City Phase II,2,1031.0,2.0,1.0,55.0
2112,Electronic City Phase II,2,1003.0,2.0,1.0,40.6
2113,Electronic City Phase II,2,1031.0,2.0,1.0,56.35
2115,Electronic City Phase II,3,1395.0,2.0,1.0,62.78
2116,Electronic City Phase II,2,1160.0,2.0,1.0,33.5
2117,Electronic City Phase II,2,1065.0,2.0,1.0,30.75
2118,Electronic City Phase II,2,1219.0,2.0,1.0,61.25
2120,Electronic City Phase II,2,1000.0,2.0,1.0,28.88
2121,Electronic City Phase II,3,1790.0,3.0,3.0,100.0
2122,Electronic City Phase II,2,769.0,2.0,1.0,40.0
2124,Electronic City Phase II,2,900.0,2.0,2.0,32.5
2127,Electronic City Phase II,3,1418.0,3.0,2.0,52.47
2128,Electronic City Phase II,2,1070.0,2.0,2.0,45.0
2131,Electronic City Phase II,2,1140.0,2.0,1.0,33.06
2132,Electronic City Phase II,2,1089.0,2.0,0.0,32.67
2133,Electronic City Phase II,2,1031.0,2.0,1.0,55.0
2134,Electronic City Phase II,2,1253.0,2.0,1.0,65.8
2136,Electronic City Phase II,2,1160.0,2.0,1.0,33.5
2137,Electronic City Phase II,4,6000.0,4.0,2.0,260.0
2138,Electronic City Phase II,2,1116.0,2.0,2.0,37.0
2139,Electronic City Phase II,2,1125.0,2.0,1.0,29.25
2140,Electronic City Phase II,2,1000.0,2.0,1.0,28.88
2141,Electronic City Phase II,2,1000.0,2.0,1.0,28.88
2142,Electronic City Phase II,2,1000.0,2.0,1.0,28.88
2143,Electronic City Phase II,2,1165.0,2.0,1.0,30.29
2144,Electronic City Phase II,4,3550.0,2.0,2.0,167.5
2145,Electronic City Phase II,2,1031.0,2.0,1.0,53.0
2147,Electronic City Phase II,2,1065.0,2.0,1.0,30.88
2149,Electronic City Phase II,3,1549.0,3.0,2.0,80.0
2150,Electronic City Phase II,2,1065.0,2.0,1.0,56.13
2152,Electronic City Phase II,2,920.0,2.0,2.0,26.0
2153,Electronic City Phase II,2,1140.0,2.0,1.0,33.84
2154,Electronic City Phase II,2,1219.0,2.0,1.0,61.26
2155,Electronic City Phase II,3,1252.0,2.0,3.0,65.0
2156,Electronic City Phase II,2,1125.0,2.0,1.0,32.49
2158,Electronic City Phase II,2,1286.0,2.0,2.0,69.0
2160,Electronic City Phase II,2,1140.0,2.0,1.0,32.92
2161,Electronic City Phase II,2,1116.0,2.0,2.0,40.0
2162,Electronic City Phase II,3,1150.0,3.0,3.0,46.0
2163,Electronic City Phase II,3,1192.0,2.0,3.0,47.0
2165,Electronic City Phase II,2,1020.0,2.0,2.0,32.0
2166,Electronic City Phase II,4,1900.0,3.0,1.0,97.0
2167,Electronic City Phase II,2,1020.0,2.0,1.0,27.43
2168,Electronic City Phase II,2,1025.0,2.0,1.0,26.65
2169,Electronic City Phase II,2,1020.0,2.0,1.0,29.45
2170,Electronic City Phase II,2,1000.0,2.0,1.0,28.88
2172,Electronic City Phase II,2,1140.0,2.0,2.0,28.5
2173,Electronic City Phase II,2,1125.0,2.0,1.0,32.49
2174,Electronic City Phase II,2,1200.0,2.0,1.0,34.65
2175,Electronic City Phase II,2,1160.0,2.0,1.0,52.2
2176,Electronic City Phase II,2,1244.0,2.0,1.0,55.0
2177,Electronic City Phase II,2,1160.0,2.0,1.0,33.51
2180,Electronic City Phase II,2,972.0,2.0,1.0,40.0
2181,Electronic City Phase II,2,1160.0,2.0,1.0,33.51
2183,Electronic City Phase II,2,1090.0,2.0,1.0,31.48
2184,Electronic City Phase II,2,1140.0,2.0,1.0,32.92
2185,Electronic City Phase II,1,650.0,1.0,1.0,35.0
2186,Electronic City Phase II,2,1155.0,2.0,1.0,57.0
2187,Electronic City Phase II,3,1800.0,3.0,3.0,92.0
2188,Electronic City Phase II,2,1300.0,2.0,2.0,28.0
2189,Electronic City Phase II,2,1160.0,2.0,1.0,33.5
2190,Electronic City Phase II,2,1025.0,2.0,1.0,29.6
2191,Electronic City Phase II,2,829.0,2.0,1.0,22.8
2192,Electronic City Phase II,4,2187.5,4.0,0.0,105.0
2193,Electronic City Phase II,2,1252.0,2.0,1.0,67.0
2195,Electronic City Phase II,2,1125.0,2.0,1.0,32.63
2196,Electronic City Phase II,2,1140.0,2.0,1.0,34.0
2199,Electronic City Phase II,3,1252.0,2.0,1.0,65.0
2200,Electronic City Phase II,2,1135.0,2.0,2.0,46.0
2201,Electronic City Phase II,3,1305.0,3.0,1.0,65.0
2202,Electronic City Phase II,2,1165.0,2.0,1.0,33.64
2204,Electronic City Phase II,3,1336.0,2.0,3.0,50.35
2205,Electronic City Phase II,1,575.0,1.0,1.0,16.75
2206,Electronic City Phase II,2,1065.0,2.0,1.0,30.76
2207,Electronic City Phase II,2,1065.0,2.0,1.0,30.75
2208,Electronic City Phase II,2,1140.0,2.0,1.0,33.06
2209,Electronic City Phase II,2,911.0,2.0,1.0,26.5
2210,Electronic City Phase II,2,1200.0,2.0,1.0,34.65
2211,Electronic City Phase II,2,1031.0,2.0,1.0,54.48
2215,Electronics City Phase 1,3,1475.0,3.0,2.0,78.29
2216,Electronics City Phase 1,3,1490.0,3.0,1.0,78.8
2217,Electronics City Phase 1,2,1113.27,2.0,2.0,53.0
2218,Electronics City Phase 1,3,1490.0,3.0,1.0,84.0
2225,Electronics City Phase 1,2,1015.0,2.0,1.0,56.0
2227,Electronics City Phase 1,3,1515.0,2.0,1.0,80.91
2228,Electronics City Phase 1,2,995.0,2.0,0.0,46.0
2229,Electronics City Phase 1,3,1555.0,2.0,1.0,82.0
2230,Electronics City Phase 1,2,1340.0,2.0,2.0,75.0
2231,Electronics City Phase 1,3,1124.0,2.0,2.0,55.0
2232,Electronics City Phase 1,2,1175.0,2.0,1.0,57.0
2233,Electronics City Phase 1,1,755.0,1.0,1.0,42.41
2234,Electronics City Phase 1,1,580.0,1.0,1.0,27.0
2235,Electronics City Phase 1,2,940.0,2.0,2.0,49.0
2236,Electronics City Phase 1,2,1335.0,2.0,2.0,67.0
2237,Electronics City Phase 1,2,1113.12,2.0,2.0,55.0
2239,Electronics City Phase 1,3,1350.0,3.0,0.0,71.0
2241,Electronics City Phase 1,2,995.0,2.0,1.0,49.8
2242,Electronics City Phase 1,1,635.0,1.0,0.0,26.0
2243,Electronics City Phase 1,2,1190.0,2.0,1.0,68.0
2245,Electronics City Phase 1,3,1450.0,3.0,2.0,72.54
2246,Electronics City Phase 1,1,360.0,1.0,0.0,16.9
2247,Electronics City Phase 1,1,638.0,1.0,1.0,32.0
2248,Electronics City Phase 1,2,1175.0,2.0,2.0,64.98
2249,Electronics City Phase 1,1,585.0,1.0,1.0,21.0
2250,Electronics City Phase 1,2,1200.0,2.0,2.0,59.76
2251,Electronics City Phase 1,2,1145.0,2.0,1.0,54.0
2252,Electronics City Phase 1,2,1125.0,2.0,2.0,65.0
2254,Electronics City Phase 1,3,1550.0,2.0,2.0,82.0
2256,Electronics City Phase 1,2,865.0,2.0,0.0,40.0
2260,Electronics City Phase 1,3,1800.0,3.0,2.0,93.0
2261,Electronics City Phase 1,2,1314.0,2.0,2.0,60.0
2262,Electronics City Phase 1,2,1170.0,2.0,1.0,62.0
2263,Electronics City Phase 1,3,1450.0,3.0,2.0,79.0
2264,Electronics City Phase 1,2,940.0,2.0,1.0,48.0
2265,Electronics City Phase 1,2,940.0,2.0,1.0,44.0
2266,Electronics City Phase 1,2,1300.0,2.0,1.0,67.0
2267,Electronics City Phase 1,2,1028.0,2.0,1.0,51.0
2269,Electronics City Phase 1,2,1205.0,2.0,2.0,60.0
2271,Electronics City Phase 1,2,1305.0,2.0,1.0,67.0
2272,Electronics City Phase 1,1,755.0,1.0,0.0,30.12
2273,Electronics City Phase 1,2,1175.0,2.0,1.0,60.0
2274,Frazer Town,3,1700.0,3.0,1.0,180.0
2275,Frazer Town,3,1305.0,3.0,2.0,95.45
2276,Frazer Town,3,1870.0,3.0,3.0,185.0
2277,Frazer Town,3,1750.0,3.0,2.0,150.0
2279,Frazer Town,3,2000.0,3.0,1.0,200.0
2280,Frazer Town,3,3500.0,4.0,2.0,330.0
2281,Frazer Town,3,2350.0,4.0,3.0,285.0
2282,Frazer Town,2,1550.0,2.0,2.0,140.0
2283,Frazer Town,3,1900.0,4.0,2.0,145.0
2284,Frazer Town,3,2560.0,3.0,2.0,265.0
2285,Frazer Town,3,2400.0,3.0,2.0,260.0
2286,Frazer Town,3,2560.0,3.0,2.0,288.0
2287,Frazer Town,4,3436.0,5.0,2.0,341.0
2289,Frazer Town,2,1315.0,2.0,2.0,140.0
2290,Frazer Town,3,1706.0,3.0,3.0,154.0
2291,Frazer Town,3,2079.0,3.0,3.0,220.0
2292,Frazer Town,4,3435.0,2.0,1.0,341.0
2293,Frazer Town,4,3436.0,5.0,2.0,345.0
2294,Frazer Town,3,3100.0,3.0,2.0,400.0
2295,Frazer Town,3,5400.0,3.0,2.0,400.0
2296,Frazer Town,2,1180.0,2.0,1.0,105.0
2297,Frazer Town,4,2900.0,4.0,2.0,325.0
2298,Frazer Town,3,1870.0,3.0,3.0,180.0
2299,Frazer Town,1,896.0,1.0,0.0,100.0
2300,Frazer Town,2,1420.0,2.0,0.0,120.0
2301,GM Palaya,3,1820.0,2.0,3.0,86.0
2302,GM Palaya,2,1225.0,2.0,2.0,47.0
2303,GM Palaya,2,1140.0,2.0,2.0,48.95
2304,GM Palaya,3,1315.0,2.0,2.0,65.0
2305,GM Palaya,3,1315.0,3.0,1.0,65.0
2306,GM Palaya,3,1315.0,3.0,0.0,64.0
2307,GM Palaya,3,1735.0,3.0,2.0,70.0
2308,GM Palaya,3,1643.0,2.0,2.0,70.0
2309,Ganga Nagar,1,600.0,1.0,0.0,38.0
2310,Ganga Nagar,2,845.0,2.0,1.0,55.0
2311,Ganga Nagar,2,1112.0,2.0,3.0,68.0
2312,Ganga Nagar,2,998.0,2.0,2.0,65.0
2313,Ganga Nagar,2,1250.0,2.0,2.0,65.0
2314,Garudachar Palya,3,1325.0,2.0,2.0,60.8
2315,Garudachar Palya,2,1060.0,2.0,1.0,48.7
2316,Garudachar Palya,2,1150.0,2.0,1.0,52.75
2317,Garudachar Palya,3,1295.0,2.0,1.0,59.5
2318,Garudachar Palya,3,1320.0,2.0,2.0,60.6
2319,Garudachar Palya,3,1295.0,2.0,2.0,59.5
2320,Garudachar Palya,2,1150.0,2.0,2.0,52.8
2321,Garudachar Palya,2,1150.0,2.0,1.0,52.8
2322,Garudachar Palya,2,1060.0,2.0,1.0,48.5
2323,Garudachar Palya,2,1150.0,2.0,1.0,52.5
2324,Garudachar Palya,3,1325.0,2.0,2.0,60.8
2325,Garudachar Palya,2,1060.0,2.0,1.0,48.66
2326,Garudachar Palya,2,1150.0,2.0,2.0,52.0
2327,Garudachar Palya,2,1154.0,2.0,1.0,51.8
2329,Giri Nagar,4,2400.0,4.0,1.0,400.0
2330,Giri Nagar,3,1800.0,3.0,2.0,252.0
2331,Giri Nagar,3,1350.0,3.0,0.0,240.0
2332,Giri Nagar,4,2400.0,4.0,2.0,400.0
2333,Giri Nagar,6,3000.0,4.0,1.0,375.0
2334,Giri Nagar,6,2400.0,6.0,1.0,400.0
2335,Giri Nagar,4,4000.0,3.0,2.0,750.0
2336,Gollarapalya Hosahalli,2,861.0,2.0,1.0,34.5
2337,Gollarapalya Hosahalli,3,1408.0,3.0,3.0,62.0
2338,Gollarapalya Hosahalli,2,861.0,2.0,1.0,34.5
2339,Gollarapalya Hosahalli,3,1318.0,3.0,1.0,54.0
2340,Gollarapalya Hosahalli,2,861.0,2.0,0.0,36.5
2341,Gollarapalya Hosahalli,3,1320.0,3.0,2.0,60.0
2342,Gollarapalya Hosahalli,3,1345.0,3.0,2.0,60.0
2343,Gollarapalya Hosahalli,4,1905.0,3.0,2.0,86.0
2344,Gollarapalya Hosahalli,3,1318.0,3.0,2.0,56.0
2345,Gollarapalya Hosahalli,2,1129.0,2.0,1.0,50.0
2346,Gottigere,2,1100.0,2.0,2.0,40.0
2347,Gottigere,2,967.0,2.0,3.0,45.0
2348,Gottigere,3,1618.0,3.0,3.0,82.5
2349,Gottigere,2,1222.0,2.0,1.0,63.0
2351,Gottigere,3,1300.0,3.0,3.0,65.0
2352,Gottigere,2,950.0,2.0,1.0,38.0
2353,Gottigere,2,1153.0,2.0,1.0,48.5
2354,Gottigere,1,812.0,1.0,0.0,26.0
2356,Gottigere,3,1460.0,2.0,2.0,65.0
2357,Gottigere,3,1500.0,3.0,2.0,70.0
2358,Gottigere,3,1621.0,3.0,3.0,72.0
2359,Gottigere,1,812.0,1.0,1.0,26.0
2360,Gottigere,2,990.0,2.0,1.0,40.0
2361,Gottigere,2,1235.0,2.0,2.0,63.0
2362,Gottigere,3,1385.0,3.0,2.0,64.0
2363,Gottigere,2,1000.0,2.0,1.0,35.0
2364,Gottigere,2,1010.0,2.0,1.0,35.0
2366,Gottigere,2,1410.0,2.0,2.0,45.0
2368,Gottigere,3,1435.0,2.0,3.0,62.0
2369,Gottigere,2,945.0,2.0,0.0,45.0
2371,Gottigere,4,2500.0,3.0,2.0,120.0
2372,Gottigere,3,1230.0,2.0,2.0,52.0
2373,Gottigere,2,1120.0,2.0,2.0,50.0
2374,Gottigere,3,1500.0,3.0,2.0,63.0
2375,Gottigere,2,1200.0,2.0,3.0,40.0
2376,Gottigere,2,1280.0,2.0,1.0,61.0
2377,Gottigere,2,1205.0,2.0,1.0,56.58
2378,Gottigere,2,1170.0,2.0,2.0,40.0
2379,Gottigere,4,3000.0,3.0,0.0,132.0
2380,Gottigere,3,1613.0,3.0,3.0,72.0
2381,Gottigere,2,1110.0,2.0,2.0,36.25
2382,Gottigere,2,1245.0,2.0,2.0,59.0
2383,Gottigere,2,1200.0,2.0,2.0,50.0
2384,Green Glen Layout,3,1670.0,3.0,2.0,120.0
2385,Green Glen Layout,4,3250.0,4.0,3.0,230.0
2386,Green Glen Layout,3,1776.42,3.0,2.0,105.0
2387,Green Glen Layout,4,3250.0,4.0,2.0,230.0
2388,Green Glen Layout,2,940.0,2.0,1.0,56.8
2389,Green Glen Layout,2,1075.0,2.0,1.0,60.0
2390,Green Glen Layout,3,1715.0,3.0,2.0,115.0
2391,Green Glen Layout,3,1751.0,2.0,1.0,115.0
2392,Green Glen Layout,3,1750.0,3.0,2.0,130.0
2393,Green Glen Layout,3,1530.0,3.0,2.0,105.0
2394,Green Glen Layout,3,1752.0,3.0,2.0,105.0
